Cong_suat_hoat_dong_toan_cau,Cong_suat_phan_khang_toan_cau,Dien_ap,Cuong_do_toan_cau
2.58	,0.136	,241.97	,10.6	
2.552	,0.1	,241.75	,10.4	
2.55	,0.1,	241.64	,10.4	
2.55	,0.1	,241.71	,10.4	
2.554	,0.1	,241.98	,10.4
2.55	,0.1	,241.83	,10.4
2.534	,0.096	,241.07	,10.4
2.484	,0	,241.29	,10.2	
2.468	,0	,241.23	,10.2	
2.486	,0	,242.18	,10.2	
2.492	,0	,242.46	,10.2	
2.5	,0	,242.88	,10.2	
2.494	,0	,242.57	,10.2	
2.492	,0	,242.41	,10.2	
2.48	,0	,241.81	,10.2	
2.478	,0	,241.73	,10.2	
2.47	,0	,241.29	,10.2	
2.466	,0	,241.11	,10.2	
2.456	,0	,240.59	,10.2	
2.46	,0	,240.83	,10.2	
2.544	,0.092	,240.9	,10.6	
2.55	,0.116	,241.15	,10.4	
2.554	,0.118	,241.55,	10.6	
2.65	,0.218	,241.67	,11
 2.682	,0.258,	242.45	,11
2.66	,0.252	,241.6,	11	
2.65	,0.25	,241.14	,11	
2.654	,0.25	,241.38	,11	
2.642	,0.248	,240.9	,11	
2.617632797	,0.069662057	,242.1846266	,10.2
2.592224523	,0.189680058	,241.4550517	,11
2.579143599	,0.248244645	,241.0012924	,11
2.551745985	,0.064178311	,240.6465143	,11
2.60197207	,0.148648592	,240.7440017	,11
2.55489471	,0.152746818	,242.1458095	,10.6
2.657540698	,0.147640992	,241.6289658	,10.2
2.673787784	,0.057555061	,241.8187664	,10.4
2.542657783	,0.245809245	,242.6433773	,10.6
2.634929859	,0.115358348	,242.8578762	,11
2.575530252	,0.218373437	,241.0866941	,11
2.584378071	,0.180465653	,242.1084491	,11
2.66518484	,0.076738733	,241.1930082	,11
2.472054149	,0.209959837	,240.6372908	,10.6
2.475691222	,0.102298481	,242.3266871	,10.2
2.460569358	,0.227324625	,241.3228393	,10.4
2.644172085	,0.149968401	,241.4681323	,10.2
2.631863426	,0.227487723	,241.9372462	,10.2
2.652622746	,0.17867315	,242.493101	,10.4
2.677167745	,0.187115604	,242.0303684	,11
2.636609836	,0.129341691	,242.58837	,11
2.560294336	,0.246669578	,241.2164113	,10.6
2.632399594	,0.166149471	,242.4175272	,10.6
2.48273002	,0.109354603	,241.0151063	,10.2
2.600622151	,0.156449449	,242.7718929	,10.4
2.488397843	,0.004951845	,242.1643482	,10.4
2.669495175	,0.077806303	,241.0835126	,10.6
2.573937721	,0.170324773	,242.7594787	,11
2.549713598	,0.074840023	,242.2636598	,10.6
2.515789568	,0.159447981	,241.1715264	,10.2
2.630976814	,0.110622325	,241.0784844	,10.6
2.559089975	,0.034952309	,241.7766796	,11
2.584466072	,0.07695684	,240.6487676	,10.4
2.460246495	,0.147050947	,241.0651065	,10.2
2.595585622	,0.152445172	,241.5625297	,11
2.594333633	,0.148175914	,241.4468493	,10.2
2.595427083	,0.168525812	,241.6515877	,10.4
2.669287066	,0.168242644	,241.2257697	,10.6
2.610091388	,0.111305956	,241.9337362	,10.6
2.537248786	,0.231309022	,242.5682293	,10.4
2.554769222	,0.094830962	,240.859148	,10.6
2.61366465	,0.112453151	,241.7747982	,10.6
2.469610957	,0.230116226	,240.892436	,10.2
2.606689278	,0.207998049	,242.2316087	,10.6
2.607564159	,0.181603255	,241.4969767	,10.6
2.503546459	,0.025858537	,241.8848148	,10.4
2.485137343	,0.237226514	,241.0097108	,11
2.527286807	,0.184274255	,240.9217014	,10.4
2.538198634	,0.257702528	,241.7076489	,10.4
2.58486447	,0.038557663	,241.4043532	,10.4
2.555123942	,0.223976523	,242.7435892	,10.4
2.679372487	,0.041923177	,242.3425948	,11
2.479062127	,0.158814368	,242.3044397	,10.4
2.503206147	,0.031945556	,242.6595182	,10.2
2.492455951	,0.218786123	,240.7810374	,10.6
2.603602482	,0.208288291	,241.8545208	,10.2
2.513243902	,0.146827991	,241.9284502	,10.6
2.561386235	,0.105053291	,242.7928343	,11
2.511240184	,0.017845085	,241.2590178	,11
2.491927126	,0.179936623	,241.1414979	,10.4
2.480944782	,0.117014012	,240.8196731	,11
2.604330487	,0.186290345	,240.6276239	,10.6
2.487229347	,0.22352664	,242.7186221	,11
2.500427614	,0.251684548	,242.1241089	,10.2
2.539331889	,0.220797262	,242.3880002	,10.6
2.64154447	,0.003022234	,241.2351619	,11
2.477944888	,0.092874341	,241.9328793	,11
2.645375549	,0.188337565	,240.7364576	,11
2.47771824	,0.044280457	,241.7020872	,10.6
2.676679839	,0.134427444	,242.8284639	,10.4
2.561915172	,0.014019201	,242.597197	,11
2.676748006	,0.051599103	,241.364384	,11
2.592695087	,0.004778623	,242.7919957	,10.2
2.623073569	,0.204774007	,241.1205967	,10.4
2.464856441	,0.05777257	,242.7639401	,11
2.519914374	,0.089100734	,242.7457549	,11
2.483164423	,0.239444974	,242.4201739	,10.4
2.522927685	,0.181738916	,242.0337258	,10.4
2.482832464	,0.008214444	,242.5921194	,10.6
2.527864199	,0.042491092	,241.2610165	,10.6
2.549623437	,0.160341428	,242.5340807	,11
2.470497334	,0.148924976	,242.0049376	,10.2
2.612498699	,0.061376348	,240.6203124	,10.6
2.584051929	,0.241027211	,241.3851648	,10.6
2.515978025	,0.158403217	,240.9292426	,11
