     Cong_suat_hoat_dong_toan_cau  Cuong_do_toan_cau
0                          2.580               10.6
1                          2.552               10.4
2                          2.550               10.4
3                          2.550               10.4
4                          2.554               10.4
5                          2.550               10.4
6                          2.534               10.4
7                          2.484               10.2
8                          2.468               10.2
9                          2.486               10.2
10                         2.492               10.2
11                         2.500               10.2
12                         2.494               10.2
13                         2.492               10.2
14                         2.480               10.2
15                         2.478               10.2
16                         2.470               10.2
17                         2.466               10.2
18                         2.456               10.2
